Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,tangerang,lebak,serang,pandeglang
OYO 90708 Kbr Home,1031,50000,tangerang,0,0,-6.2408795,106.6241064,0.011023383,614556.3,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0
OYO 90708 Kbr Home,1101,50000,tangerang,0,0,-6.2408795,106.6241064,0.011023383,587202.9,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0
OYO 90708 Kbr Home,1102,50000,tangerang,0,0,-6.2408795,106.6241064,0.011023383,646386.2,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1031,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,398929.1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1101,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,335740.5556,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1103,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,335740.5556,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1105,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,343240.5556,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1106,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,410171.3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1107,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,408003.1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1108,88000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,377516.6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1119,88000,tangerang,0,7.6,-6.1851703,106.6102151,0.022189164,353340.1111,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1120,88000,tangerang,0,7.7,-6.1851703,106.6102151,0.022189164,433815,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1121,88000,tangerang,0,7.7,-6.1851703,106.6102151,0.022189164,384298.2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1122,88000,tangerang,0,7.7,-6.1851703,106.6102151,0.022189164,340881.5556,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1123,88000,tangerang,0,7.8,-6.1851703,106.6102151,0.022189164,340881.5556,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1124,88000,tangerang,0,7.8,-6.1851703,106.6102151,0.022189164,378643.5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1125,88000,tangerang,0,7.8,-6.1851703,106.6102151,0.022189164,497488,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1126,88000,tangerang,0,7.8,-6.1851703,106.6102151,0.022189164,423214.4444,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1127,88000,tangerang,0,7.8,-6.1851703,106.6102151,0.022189164,404022.9,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1128,88000,tangerang,0,7.8,-6.1851703,106.6102151,0.022189164,380798.2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel Padma Syariah Tangerang,1104,100000,tangerang,0,7.4,-6.1851703,106.6102151,0.022189164,365516.6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
