Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,jakarta barat,jakarta pusat,jakarta selatan,jakarta timur,jakarta utara
OYO 2628 Kartini Residence,1027,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,189598.7778,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1028,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,197362.4444,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1029,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,217778.8889,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1030,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,212651.6,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1031,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,215551.5,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1101,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,220556.6667,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1102,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,229426.3,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1103,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,215801.5,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1104,90748,jakarta pusat,0,6.6,-6.164106,106.8333155,0.002866349,203054.2222,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1105,90748,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002866349,203768.5556,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1106,90748,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002866349,221605.1111,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
City Biz Residence,1031,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,204282.6,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1104,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,195133.5556,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1105,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,201759.6667,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1106,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,193213.5556,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1107,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,164919,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1108,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,178139.8889,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1119,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,197565.3,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1120,104500,jakarta barat,0,8.2,-6.1500984,106.8245004,0.001199032,190849.3,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1121,104500,jakarta barat,0,8.2,-6.1500984,106.8245004,0.001199032,177392.2,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1122,104500,jakarta barat,0,8.2,-6.1500984,106.8245004,0.001199032,165775.1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1123,104500,jakarta barat,0,8.2,-6.1500984,106.8245004,0.001199032,172575,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1124,104500,jakarta barat,0,8.2,-6.1500984,106.8245004,0.001199032,176926.9,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1125,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,175777.2,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1126,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,197691.8,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1127,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,184521.9,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0
City Biz Residence,1128,104500,jakarta barat,0,8.1,-6.1500984,106.8245004,0.001199032,162225.6667,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0
SPOT ON 90437 Salome Guesthouse,1027,106246,jakarta pusat,0,6,-6.1566836,106.8347882,0.003115299,187688.6667,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1119,108876,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,184067.8,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1121,108876,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,178061.9,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1123,108876,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,185583,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1124,108876,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,184780.9,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1125,108876,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,185583,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1126,108876,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,187320.9,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1128,108876,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,185147.7,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
Residence T63,1121,110000,jakarta barat,0,7.9,-6.170063,106.7968455,0.005062519,200284.7,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
Residence T63,1122,110000,jakarta barat,0,7.9,-6.170063,106.7968455,0.005062519,324063.3,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
Residence T63,1123,110000,jakarta barat,0,7.9,-6.170063,106.7968455,0.005062519,323063.3,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
OYO 3785 Kemayoran Residence,1027,111109,jakarta pusat,0,6.5,-6.1647555,106.8451121,0.005561746,134728.25,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 3785 Kemayoran Residence,1028,111109,jakarta pusat,0,6.5,-6.1647555,106.8451121,0.005561746,139691.5,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1127,114497,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,176564.1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1122,114604,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002981402,191105.7778,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
SPOT ON 90437 Salome Guesthouse,1031,114726,jakarta pusat,0,5.9,-6.1566836,106.8347882,0.003115299,168686.7,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
SPOT ON 90437 Salome Guesthouse,1101,114726,jakarta pusat,0,5.9,-6.1566836,106.8347882,0.003115299,174645.9,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
SPOT ON 90437 Salome Guesthouse,1102,114726,jakarta pusat,0,5.9,-6.1566836,106.8347882,0.003115299,175748.5,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
SPOT ON 90437 Salome Guesthouse,1103,114726,jakarta pusat,0,5.9,-6.1566836,106.8347882,0.003115299,169670.3,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
OYO 2628 Kartini Residence,1108,115675,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002866349,196726.1111,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
Hotel Alifah 1,1104,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,288762.8889,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1105,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,289641.1111,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1106,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,261641.1111,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1107,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,255984,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1108,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,226360.5556,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1119,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,281863.1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1120,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,266438.6,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1121,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,263674.2,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1122,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,255138.8,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1123,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,255749.2,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1124,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,247282.2,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1125,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,248875.5,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1126,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,248914.2,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1127,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,250578,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Alifah 1,1128,116278,jakarta barat,0,7.7,-6.1152691,106.6891953,0.003783728,254876.1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
OYO 2628 Kartini Residence,1107,116606,jakarta pusat,0,6.7,-6.164106,106.8333155,0.002866349,190492.9,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
Sanctuary Spaces by TwoSpaces,1108,117000,jakarta barat,0,8.9,-6.17948,106.7972959,0.006411098,269998.2,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Sleepzzz Hotel Senayan,1107,117000,jakarta selatan,3,7.8,-6.2346784,106.8156244,0.007740484,1282345.8,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0
Sleepzzz Hotel Senayan,1108,117000,jakarta selatan,3,7.8,-6.2346784,106.8156244,0.007740484,1272811.2,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0
SPOT ON 90437 Salome Guesthouse,1030,119514,jakarta pusat,0,5.9,-6.1566836,106.8347882,0.003115299,182963.2,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
SPOT ON 90437 Salome Guesthouse,1029,120000,jakarta pusat,0,5.9,-6.1566836,106.8347882,0.003115299,181586.5,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
OYO 3811 Best Inn Hotel,1127,121153,jakarta pusat,1,8,-6.165897,106.821338,0.003718446,338304.6,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
Residence T63,1124,122500,jakarta barat,0,7.9,-6.170063,106.7968455,0.005062519,310114.8,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
Residence T63,1125,122500,jakarta barat,0,7.9,-6.170063,106.7968455,0.005062519,306410.4,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
Residence T63,1128,122500,jakarta barat,0,7.9,-6.170063,106.7968455,0.005062519,185335.9,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
