Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,jakarta barat,jakarta pusat,jakarta selatan,jakarta timur,jakarta utara
Pax Hotel,1029,350000,jakarta timur,2,8.3,-6.2054524,106.8583801,0.00863079,82363.9,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0
Pax Hotel,1030,350000,jakarta timur,2,8.3,-6.2054524,106.8583801,0.00863079,80126.2,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0
Pax Hotel,1031,350000,jakarta timur,2,8.3,-6.2054524,106.8583801,0.00863079,69048.2,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0
Pax Hotel,1101,350000,jakarta timur,2,8.3,-6.2054524,106.8583801,0.00863079,78411.7,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0
Balairung Hotel Jakarta,1101,350000,jakarta timur,3,8.6,-6.2000336,106.8549113,0.00686429,153863.8,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0
Smarthomm Ancol Jakarta,1020,350000,jakarta utara,2,8.3,-6.131151,106.8283038,0.005742274,154832.1111,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1
Smarthomm Ancol Jakarta,1021,350000,jakarta utara,2,8.3,-6.131151,106.8283038,0.005742274,169657.9,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1
Cabin Hotel,1026,350000,jakarta utara,2,8.4,-6.1477093,106.8876017,0.011835841,115362.6667,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
Cabin Hotel,1027,350000,jakarta utara,2,8.4,-6.1477093,106.8876017,0.011835841,107920,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
Cabin Hotel,1028,350000,jakarta utara,2,8.4,-6.1477093,106.8876017,0.011835841,94136.6,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
