Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,karangasem,ogan komering ilir,gianyar,tabanan,buleleng,badung,denpasar,jembrana,bangli,klungkung
Sapta Petala,1120,69300,badung,1,8.6,-8.7324677,115.1713399,0.002655862,248522.6,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Sapta Petala,1121,69300,badung,1,8.6,-8.7324677,115.1713399,0.002655862,250355.5,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Spunky Premiere Kuta,1029,72289,badung,3,7.9,-8.6707702,115.1660568,0.004733803,255938.875,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Spunky Premiere Kuta,1030,72289,badung,3,7.9,-8.6707702,115.1660568,0.004733803,247898.375,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Sapta Petala,1118,81900,badung,1,8.6,-8.7324677,115.1713399,0.002655862,236776.8,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Sapta Petala,1119,81900,badung,1,8.6,-8.7324677,115.1713399,0.002655862,226037.9,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Grand Sinar Indah Hotel,1119,87119,badung,3,8.1,-8.7027403,115.16741,0.00187074,674856.7,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Grand Sinar Indah Hotel,1120,87119,badung,3,8.1,-8.7027403,115.16741,0.00187074,681994.8,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Grand Sinar Indah Hotel,1121,87119,badung,3,8.1,-8.7027403,115.16741,0.00187074,685840.9,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1027,90000,badung,2,8,-8.7189484,115.1733533,0.001758499,203544.6667,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1112,90000,badung,2,8,-8.7189484,115.1733533,0.001758499,218028.5,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1114,90000,badung,2,8,-8.7189484,115.1733533,0.001758499,221080.1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1115,90000,badung,2,8,-8.7189484,115.1733533,0.001758499,221080.1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1116,90000,badung,2,8,-8.7189484,115.1733533,0.001758499,225040.1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1118,90000,badung,2,8,-8.7189484,115.1733533,0.001758499,226030.1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1119,90000,badung,2,8,-8.7189484,115.1733533,0.001758499,221080.1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
The Kubu Hotel,1121,90000,badung,2,8,-8.7189484,115.1733533,0.001758499,221080.1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
OYO 3923 Villa Puri Royan,1101,93350,badung,2,8.2,-8.7687698,115.1703154,0.005386015,843498.7778,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Duo Legian Hotel,1029,94050,badung,2,8.6,-8.7093376,115.1730838,0.001575303,156259.5,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
