Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sidoarjo,jember,bayuwangi,batu,kediri,surabaya,malang,pacitan,tuban,jombang,tulungagung,sumenep,probolinggo,ngawi,madiun,pasuruan,pamekasan,bojonegoro,mojokerto,nganjuk,lamongan,magetan,ponorogo,situbondo,gresik,blitar,bondowoso,trenggalek,lumajang,sampang,bangkalan,purworejo
SPOT ON 2042 Ijen Creater Family Residence Syariah,1112,62443,bayuwangi,0,8.3,-8.1396288,114.3901754,0.026464921,423503.7,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2022 Darman Family Residence Syariah,1020,64163,bayuwangi,0,7.9,-8.2062687,114.3509867,0.018190397,198574.5556,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1020,67101,ponorogo,0,5.9,-7.8708483,111.4703767,0.079162262,197295.8,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 2090 Ratna Backpacker Syariah,1119,69986,probolinggo,0,7.7,-7.7528044,113.2127322,0.011398053,147790.9,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2090 Ratna Backpacker Syariah,1121,69986,probolinggo,0,7.7,-7.7528044,113.2127322,0.011398053,101146.6667,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1121,70819,ponorogo,0,6.5,-7.8708483,111.4703767,0.079162262,196814.8,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1118,70976,ponorogo,0,6.5,-7.8708483,111.4703767,0.079162262,203046.2,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1119,71062,ponorogo,0,6.5,-7.8708483,111.4703767,0.079162262,256471.2,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1022,71172,ponorogo,0,6.2,-7.8708483,111.4703767,0.079162262,182627.1111,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1115,71562,ponorogo,0,6.5,-7.8708483,111.4703767,0.079162262,191021.7,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1114,71734,ponorogo,0,6.5,-7.8708483,111.4703767,0.079162262,195603.9,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 2042 Ijen Creater Family Residence Syariah,1020,72207,bayuwangi,0,8.3,-8.1396288,114.3901754,0.026464921,450881.5556,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2042 Ijen Creater Family Residence Syariah,1031,72207,bayuwangi,0,8.3,-8.1396288,114.3901754,0.026464921,332266.4,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1031,72875,ponorogo,0,6.2,-7.8708483,111.4703767,0.079162262,196052.5,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1117,72966,ponorogo,0,6.5,-7.8708483,111.4703767,0.079162262,269813.1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 1972 Aman Family Inn Syariah,1116,73843,ponorogo,0,6.5,-7.8708483,111.4703767,0.079162262,272573.1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPOT ON 2042 Ijen Creater Family Residence Syariah,1101,73861,bayuwangi,0,8.3,-8.1396288,114.3901754,0.026464921,360439.7,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2042 Ijen Creater Family Residence Syariah,1114,73925,bayuwangi,0,8.3,-8.1396288,114.3901754,0.026464921,355991.1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2046 Villa Hardi,1112,74360,batu,0,8,-7.8632824,112.4936365,0.012987172,323292.375,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2042 Ijen Creater Family Residence Syariah,1120,74570,bayuwangi,0,8.3,-8.1396288,114.3901754,0.026464921,341330.2222,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 1958 Asembagus Family,1029,74986,situbondo,2,7.3,-7.75103,114.2345989,0.360032436,208901.8889,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SPOT ON 1958 Asembagus Family,1031,74986,situbondo,2,7.3,-7.75103,114.2345989,0.360032436,178600.7,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SPOT ON 1958 Asembagus Family,1101,74986,situbondo,2,7.3,-7.75103,114.2345989,0.360032436,196466.4,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SPOT ON 1958 Asembagus Family,1112,74986,situbondo,2,7.2,-7.75103,114.2345989,0.360032436,202430.3,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
