Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sleman,yogyakarta,bantul,kulon progo,gunungkidul
Pakem Sari Hotel & Resto,1108,68950,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,201023,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1119,68950,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,386568.9,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1121,68950,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,380741.8,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1122,68950,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,364302.8,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1027,70000,sleman,0,7.1,-7.6633438,110.4136656,0.052180203,177569.1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1028,70000,sleman,0,7,-7.6633438,110.4136656,0.052180203,177569.1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1031,70000,sleman,0,7,-7.6633438,110.4136656,0.052180203,214902,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1124,75000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,148354.5556,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1125,75000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,149063.3333,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1126,75000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,341961.6,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1127,75000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,339517.5556,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
Pakem Sari Hotel & Resto,1128,75000,sleman,0,7.3,-7.6633438,110.4136656,0.052180203,172434.9,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0
OYO 2394 Hotel Brosta Near RS Ludira Husada Tama,1121,91782,yogyakarta,1,7.2,-7.8034529,110.3536415,0.004793122,180209.6,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
OYO 2394 Hotel Brosta Near RS Ludira Husada Tama,1122,91782,yogyakarta,1,7.2,-7.8034529,110.3536415,0.004793122,221689.125,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
SPOT ON 2857 Hotel Pelangi,1027,93496,yogyakarta,0,8,-7.8074837,110.3561406,0.006253315,187374.9,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
OYO 2285 Art Guest House Syariah Near RSUD Kota Yogyakarta,1124,93703,yogyakarta,2,8.6,-7.8111877,110.3774188,0.005618282,159487.5,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1121,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,406222.7,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1122,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,319516.2222,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1123,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,328094.6,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1124,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,338094.6,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1125,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,425303.375,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1126,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,525256.5,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Ndalem Mantrigawen,1128,94700,yogyakarta,0,8.1,-7.8089244,110.3684367,0.00642474,451381,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0
Jogja Backpacker Rooms,1027,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,76331.8,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1028,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,85451.6,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1029,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,87349.3,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1030,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,89652.66667,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1031,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,88306,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1101,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,76906.9,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1102,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,78346.7,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1103,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,78288.2,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1104,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,75807.3,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1105,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,77715.9,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
