Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sukabumi,cianjur,bekasi,cirebon,bandung,bogor,sumedang,banjar,subang,karawang,tasikmalaya,majalengka,purwakarta,garut,jakarta selatan,kuningan,pengandaran,ciamis,pangandaran,indramayu,depok
Ariandri Boutique Hotel by Owl,1120,81900,bandung,2,8.2,-6.8879885,107.5825309,0.0027994,156489.1429,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90171 Pondok Kuning,1112,82623,sumedang,0,6.9,-6.9373053,107.7606805,0.01715938,258488.5556,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 3857 Sweet Candy 1 Syariah,1020,82744,karawang,0,6.1,-6.3182294,107.2886407,0.006550056,72011.66667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1028,83749,karawang,0,0,-6.9098629,107.5979708,0.00228728,395756.5,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1114,84249,karawang,0,6.4,-6.9098629,107.5979708,0.00228728,278832.3,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1120,84946,karawang,0,6.5,-6.9098629,107.5979708,0.00228728,728818.6667,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2584 Hotel Karya Nunggal Asri,1028,84983,bandung,0,6.7,-6.8072299,107.9868897,0.163373992,230976.4444,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 3859 Sweet Candy 2,1020,85332,karawang,0,7.1,-6.2999183,107.2985034,0.009210478,127110.6667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1116,86163,karawang,0,6.6,-6.9098629,107.5979708,0.00228728,176176,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1029,86777,karawang,0,0,-6.9098629,107.5979708,0.00228728,215797.6667,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1026,88086,karawang,0,0,-6.9098629,107.5979708,0.00228728,308708.2,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1025,88182,karawang,0,0,-6.9098629,107.5979708,0.00228728,300678.7,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90632 Hotel Pelangi Indah Paskal,1027,88182,karawang,0,0,-6.9098629,107.5979708,0.00228728,332205.9,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OYO 1970 Hotel Priangan Tasikmalaya,1120,88192,tasikmalaya,0,7.1,-7.3272654,108.2190871,0.011722581,399212.5,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SPOT ON 2054 Arimbi 3 Near Santosa Hospital,1112,88497,karawang,0,5.8,-6.915824,107.6017438,0.002477729,313942.1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
