Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,blora,semarang,cilacap,wonogiri,banyumas,temanggung,tegal,klaten,banjarnegara,pemalang,wonosobo,surakarta,magelang,grobogan,pekalongan,sukoharjo,karanganyar,kebumen,rembang,boyolali,jepara,pati,purbalingga,salatiga,brebes,kudus,demak,kendal,purworejo
SPOT ON 2289 Hotel Saudara,1120,56659,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,381913.1429,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1120,62808,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,253445.5,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1020,65987,tegal,1,6.8,-6.8604482,109.1583414,0.024545037,237522.5,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1029,69620,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,259989.2222,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1112,69986,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,257877.2222,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1117,69986,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,287794,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1118,70379,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,359463.75,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1114,70468,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,251949.5556,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1119,71508,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,382375.7778,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1115,71648,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,268228.75,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1116,72135,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,250410.5556,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1022,75224,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,237141.8,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1101,75504,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,241340.1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1121,75764,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,228192.7778,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2546 Griya Widya Syariah,1119,76984,klaten,0,7.3,-7.7209563,110.6039979,0.048544265,136546.5556,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotel Keprabon Solo,1022,77000,surakarta,1,8,-7.5705469,110.8245798,0.005616315,248512.5714,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1027,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,247731.6667,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1112,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,247401.5556,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1116,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,208363.5714,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1118,77762,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,167283.8,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 1942 Asia Residence,1020,78632,semarang,0,6.6,-6.9920304,110.4338677,0.006197917,210297.1111,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2546 Griya Widya Syariah,1113,78894,klaten,0,7.3,-7.7209563,110.6039979,0.048544265,159907.8333,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1101,79343,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,225423.9,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1025,79506,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,238185.9,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1021,79648,tegal,1,6.8,-6.8604482,109.1583414,0.024545037,205784,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1023,79700,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,240252.4,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2546 Griya Widya Syariah,1117,80504,klaten,0,7.3,-7.7209563,110.6039979,0.048544265,135231.7,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2546 Griya Widya Syariah,1031,80963,klaten,0,7.3,-7.7209563,110.6039979,0.048544265,117712,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1021,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,212405.375,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1022,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,239636.5,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1024,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,187978.4444,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1025,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,209850.2222,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1026,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,236930.9,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1114,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,193166.5556,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1121,81650,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,220539.9,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1031,81716,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,215882.875,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2546 Griya Widya Syariah,1020,81977,klaten,0,7.2,-7.7209563,110.6039979,0.048544265,148234.2,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2815 Hotel Damai Cilacap,1119,82425,cilacap,1,7.2,-7.7312714,109.0040205,0.015138827,243134,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 90577 Griya Afifah Syariah,1031,82747,klaten,0,6.7,-7.69526,110.6094429,0.054374203,116126.2222,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2546 Griya Widya Syariah,1120,83034,klaten,0,7.3,-7.7209563,110.6039979,0.048544265,186275.8889,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2546 Griya Widya Syariah,1029,83058,klaten,0,7.3,-7.7209563,110.6039979,0.048544265,112323.2857,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT ON 2289 Hotel Saudara,1030,83137,tegal,1,6.9,-6.8604482,109.1583414,0.024545037,225913.7778,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
