Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sleman,yogyakarta,bantul,kulon progo,gunungkidul
OYO 1593 Pondok Garini Syariah,1118,96284,sleman,1,8.4,-7.7544941,110.3846858,0.003725321,251832.75,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
OYO 1593 Pondok Garini Syariah,1027,96565,sleman,1,8.4,-7.7544941,110.3846858,0.003725321,218620.3333,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
OYO 2224 Lousiana House Near RS Condong Catur,1121,97040,sleman,1,7.7,-7.7442723,110.4130658,0.014725795,88926.4,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
OYO 2224 Lousiana House Near RS Condong Catur,1027,98143,sleman,1,7.8,-7.7442723,110.4130658,0.014725795,84339.3,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
OYO 1593 Pondok Garini Syariah,1022,98205,sleman,1,8.4,-7.7544941,110.3846858,0.003725321,294412.3,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1020,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,71893.1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1021,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,83663.6,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1022,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,58013.57143,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1023,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,102961.2222,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
Jogja Backpacker Rooms,1024,99000,sleman,0,8.2,-7.7474983,110.4211175,0.014362485,79800,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
